data,tMin,tMed,tMax,precipitacao,Produto,Vendas
2018-11-12,14.75,18.375,21.75,0,2,36
2018-11-12,14.75,18.375,21.75,0,3,45
2018-11-12,14.75,18.375,21.75,0,4,0
2018-11-12,14.75,18.375,21.75,0,5,5
2018-11-12,14.75,18.375,21.75,0,6,0
2018-11-12,14.75,18.375,21.75,0,7,15
2018-11-12,14.75,18.375,21.75,0,8,5
2018-11-19,17.25,21.375,25.625,18,1,137
2018-11-19,17.25,21.375,25.625,18,2,32
2018-11-19,17.25,21.375,25.625,18,3,46
2018-11-19,17.25,21.375,25.625,18,4,2
2018-11-19,17.25,21.375,25.625,18,5,3
2018-11-19,17.25,21.375,25.625,18,6,0
2018-11-19,17.25,21.375,25.625,18,7,0
2018-11-19,17.25,21.375,25.625,18,8,7
2018-11-26,15.125,17.875,21.0,0,1,85
2018-11-26,15.125,17.875,21.0,0,2,28
2018-11-26,15.125,17.875,21.0,0,3,44
2018-11-26,15.125,17.875,21.0,0,4,7
2018-11-26,15.125,17.875,21.0,0,5,5
2018-11-26,15.125,17.875,21.0,0,6,0
2018-11-26,15.125,17.875,21.0,0,7,6
2018-11-26,15.125,17.875,21.0,0,8,9
2018-12-03,15.875,26.125,25.5,2,1,203
2018-12-03,15.875,26.125,25.5,2,2,26
2018-12-03,15.875,26.125,25.5,2,3,36
2018-12-03,15.875,26.125,25.5,2,4,7
2018-12-03,15.875,26.125,25.5,2,5,5
2018-12-03,15.875,26.125,25.5,2,6,0
2018-12-03,15.875,26.125,25.5,2,7,0
2018-12-03,15.875,26.125,25.5,2,8,6
2018-12-10,14.125,25.25,25.5,0,1,90
2018-12-10,14.125,25.25,25.5,0,2,85
2018-12-10,14.125,25.25,25.5,0,3,37
2018-12-10,14.125,25.25,25.5,0,4,4
2018-12-10,14.125,25.25,25.5,0,5,2
2018-12-10,14.125,25.25,25.5,0,6,0
2018-12-10,14.125,25.25,25.5,0,7,20
2018-12-10,14.125,25.25,25.5,0,8,3
2018-12-17,18.625,24.375,29.875,0,1,175
2018-12-17,18.625,24.375,29.875,0,2,48
2018-12-17,18.625,24.375,29.875,0,3,37
2018-12-17,18.625,24.375,29.875,0,4,3
2018-12-17,18.625,24.375,29.875,0,5,2
2018-12-17,18.625,24.375,29.875,0,6,1
2018-12-17,18.625,24.375,29.875,0,7,15
2018-12-17,18.625,24.375,29.875,0,8,1
2018-12-24,19.375,24.125,35.75,19,1,87
2018-12-24,19.375,24.125,35.75,19,2,29
2018-12-24,19.375,24.125,35.75,19,3,17
2018-12-24,19.375,24.125,35.75,19,4,1
2018-12-24,19.375,24.125,35.75,19,5,1
2018-12-24,19.375,24.125,35.75,19,6,3
2018-12-24,19.375,24.125,35.75,19,7,0
2018-12-24,19.375,24.125,35.75,19,8,4
2018-12-31,16.875,21.125,25.375,0,1,66
2018-12-31,16.875,21.125,25.375,0,2,10
2018-12-31,16.875,21.125,25.375,0,3,33
2018-12-31,16.875,21.125,25.375,0,4,2
2018-12-31,16.875,21.125,25.375,0,5,2
2018-12-31,16.875,21.125,25.375,0,6,0
2018-12-31,16.875,21.125,25.375,0,7,0
2018-12-31,16.875,21.125,25.375,0,8,3
2019-01-07,19.125,23.625,27.875,1,1,90
2019-01-07,19.125,23.625,27.875,1,2,40
2019-01-07,19.125,23.625,27.875,1,3,21
2019-01-07,19.125,23.625,27.875,1,4,1
2019-01-07,19.125,23.625,27.875,1,5,2
2019-01-07,19.125,23.625,27.875,1,6,2
2019-01-07,19.125,23.625,27.875,1,7,10
2019-01-07,19.125,23.625,27.875,1,8,10
2019-01-14,19.375,24.375,29.5,0,1,87
2019-01-14,19.375,24.375,29.5,0,2,25
2019-01-14,19.375,24.375,29.5,0,3,38
2019-01-14,19.375,24.375,29.5,0,4,10
2019-01-14,19.375,24.375,29.5,0,5,6
2019-01-14,19.375,24.375,29.5,0,6,1
2019-01-14,19.375,24.375,29.5,0,7,0
2019-01-14,19.375,24.375,29.5,0,8,0
2019-01-21,20.0,24.875,30.0,2,1,110
2019-01-21,20.0,24.875,30.0,2,2,19
2019-01-21,20.0,24.875,30.0,2,3,10
2019-01-21,20.0,24.875,30.0,2,4,3
2019-01-21,20.0,24.875,30.0,2,5,2
2019-01-21,20.0,24.875,30.0,2,6,0
2019-01-21,20.0,24.875,30.0,2,7,6
2019-01-21,20.0,24.875,30.0,2,8,7
2019-01-28,18.75,23.75,28.625,1,1,137
2019-01-28,18.75,23.75,28.625,1,2,74
2019-01-28,18.75,23.75,28.625,1,3,35
2019-01-28,18.75,23.75,28.625,1,4,4
2019-01-28,18.75,23.75,28.625,1,5,3
2019-01-28,18.75,23.75,28.625,1,6,3
2019-01-28,18.75,23.75,28.625,1,7,15
2019-01-28,18.75,23.75,28.625,1,8,8
2019-02-04,20.0,24.875,29.875,0,1,111
2019-02-04,20.0,24.875,29.875,0,2,29
2019-02-04,20.0,24.875,29.875,0,3,35
2019-02-04,20.0,24.875,29.875,0,4,14
2019-02-04,20.0,24.875,29.875,0,5,15
2019-02-04,20.0,24.875,29.875,0,6,0
2019-02-04,20.0,24.875,29.875,0,7,11
2019-02-04,20.0,24.875,29.875,0,8,3
2019-02-11,16.875,20.75,24.625,sim,1,85
2019-02-11,16.875,20.75,24.625,sim,2,20
2019-02-11,16.875,20.75,24.625,sim,3,23
2019-02-11,16.875,20.75,24.625,sim,4,8
2019-02-11,16.875,20.75,24.625,sim,5,6
2019-02-11,16.875,20.75,24.625,sim,6,0
2019-02-11,16.875,20.75,24.625,sim,7,0
2019-02-11,16.875,20.75,24.625,sim,8,2
2019-02-18,17.875,20.5,23.625,4,1,160
2019-02-18,17.875,20.5,23.625,4,2,37
2019-02-18,17.875,20.5,23.625,4,3,53
2019-02-18,17.875,20.5,23.625,4,4,6
2019-02-18,17.875,20.5,23.625,4,5,8
2019-02-18,17.875,20.5,23.625,4,6,0
2019-02-18,17.875,20.5,23.625,4,7,16
2019-02-18,17.875,20.5,23.625,4,8,5
2019-02-25,19.0,23.125,27.625,7,1,116
2019-02-25,19.0,23.125,27.625,7,2,86
2019-02-25,19.0,23.125,27.625,7,3,35
2019-02-25,19.0,23.125,27.625,7,4,8
2019-02-25,19.0,23.125,27.625,7,5,2
2019-02-25,19.0,23.125,27.625,7,6,0
2019-02-25,19.0,23.125,27.625,7,7,0
2019-02-25,19.0,23.125,27.625,7,8,6
2019-03-04,18.125,21.25,24.5,20,1,116
2019-03-04,18.125,21.25,24.5,20,2,4
2019-03-04,18.125,21.25,24.5,20,3,23
2019-03-04,18.125,21.25,24.5,20,4,3
2019-03-04,18.125,21.25,24.5,20,5,1
2019-03-04,18.125,21.25,24.5,20,6,0
2019-03-04,18.125,21.25,24.5,20,7,22
2019-03-04,18.125,21.25,24.5,20,8,1
2019-03-11,18.75,22.375,26.375,0,1,101
2019-03-11,18.75,22.375,26.375,0,2,60
2019-03-11,18.75,22.375,26.375,0,3,56
2019-03-11,18.75,22.375,26.375,0,4,15
2019-03-11,18.75,22.375,26.375,0,5,10
2019-03-11,18.75,22.375,26.375,0,6,0
2019-03-11,18.75,22.375,26.375,0,7,5
2019-03-11,18.75,22.375,26.375,0,8,8
2019-03-18,18.125,21.875,25.5,3,1,161
2019-03-18,18.125,21.875,25.5,3,2,18
2019-03-18,18.125,21.875,25.5,3,3,36
2019-03-18,18.125,21.875,25.5,3,4,3
2019-03-18,18.125,21.875,25.5,3,5,1
2019-03-18,18.125,21.875,25.5,3,6,0
2019-03-18,18.125,21.875,25.5,3,7,6
2019-03-18,18.125,21.875,25.5,3,8,5
2019-03-25,16.75,26.375,25.625,0,1,126
2019-03-25,16.75,26.375,25.625,0,2,29
2019-03-25,16.75,26.375,25.625,0,3,39
2019-03-25,16.75,26.375,25.625,0,4,8
2019-03-25,16.75,26.375,25.625,0,5,3
2019-03-25,16.75,26.375,25.625,0,6,0
2019-03-25,16.75,26.375,25.625,0,7,5
2019-03-25,16.75,26.375,25.625,0,8,5
2019-04-01,16.0,20.0,24.125,0,1,137
2019-04-01,16.0,20.0,24.125,0,2,30
2019-04-01,16.0,20.0,24.125,0,3,39
2019-04-01,16.0,20.0,24.125,0,4,4
2019-04-01,16.0,20.0,24.125,0,5,2
2019-04-01,16.0,20.0,24.125,0,6,0
2019-04-01,16.0,20.0,24.125,0,7,11
2019-04-01,16.0,20.0,24.125,0,8,6
2019-04-08,18.0,21.625,25.25,10,1,104
2019-04-08,18.0,21.625,25.25,10,2,28
2019-04-08,18.0,21.625,25.25,10,3,31
2019-04-08,18.0,21.625,25.25,10,4,3
2019-04-08,18.0,21.625,25.25,10,5,1
2019-04-08,18.0,21.625,25.25,10,6,7
2019-04-08,18.0,21.625,25.25,10,7,0
2019-04-08,18.0,21.625,25.25,10,8,4
2019-04-15,16.375,19.375,22.375,3,1,125
2019-04-15,16.375,19.375,22.375,3,2,99
2019-04-15,16.375,19.375,22.375,3,3,35
2019-04-15,16.375,19.375,22.375,3,4,6
2019-04-15,16.375,19.375,22.375,3,5,6
2019-04-15,16.375,19.375,22.375,3,6,4
2019-04-15,16.375,19.375,22.375,3,7,6
2019-04-15,16.375,19.375,22.375,3,8,13
2019-04-22,16.375,20.75,25.0,0,1,76
2019-04-22,16.375,20.75,25.0,0,2,34
2019-04-22,16.375,20.75,25.0,0,3,39
2019-04-22,16.375,20.75,25.0,0,4,3
2019-04-22,16.375,20.75,25.0,0,5,0
2019-04-22,16.375,20.75,25.0,0,6,0
2019-04-22,16.375,20.75,25.0,0,7,20
2019-04-22,16.375,20.75,25.0,0,8,2
2019-04-29,17.75,21.25,24.75,28,1,125
2019-04-29,17.75,21.25,24.75,28,2,18
2019-04-29,17.75,21.25,24.75,28,3,37
2019-04-29,17.75,21.25,24.75,28,4,18
2019-04-29,17.75,21.25,24.75,28,5,23
2019-04-29,17.75,21.25,24.75,28,6,0
2019-04-29,17.75,21.25,24.75,28,7,11
2019-04-29,17.75,21.25,24.75,28,8,1
2019-05-06,17.25,21.25,25.25,0,1,130
2019-05-06,17.25,21.25,25.25,0,2,30
2019-05-06,17.25,21.25,25.25,0,3,64
2019-05-06,17.25,21.25,25.25,0,4,8
2019-05-06,17.25,21.25,25.25,0,5,1
2019-05-06,17.25,21.25,25.25,0,6,0
2019-05-06,17.25,21.25,25.25,0,7,5
2019-05-06,17.25,21.25,25.25,0,8,13
2019-05-13,16.875,20.375,23.75,0,1,168
2019-05-13,16.875,20.375,23.75,0,2,32
2019-05-13,16.875,20.375,23.75,0,3,22
2019-05-13,16.875,20.375,23.75,0,4,9
2019-05-13,16.875,20.375,23.75,0,5,7
2019-05-13,16.875,20.375,23.75,0,6,4
2019-05-13,16.875,20.375,23.75,0,7,6
2019-05-13,16.875,20.375,23.75,0,8,5
2019-05-20,14.875,17.875,20.5,0,1,108
2019-05-20,14.875,17.875,20.5,0,2,44
2019-05-20,14.875,17.875,20.5,0,3,19
2019-05-20,14.875,17.875,20.5,0,4,7
2019-05-20,14.875,17.875,20.5,0,5,5
2019-05-20,14.875,17.875,20.5,0,6,0
2019-05-20,14.875,17.875,20.5,0,7,5
2019-05-20,14.875,17.875,20.5,0,8,4
2019-05-27,12.75,17.25,19.625,0,1,107
2019-05-27,12.75,17.25,19.625,0,2,86
2019-05-27,12.75,17.25,19.625,0,3,58
2019-05-27,12.75,17.25,19.625,0,4,3
2019-05-27,12.75,17.25,19.625,0,5,5
2019-05-27,12.75,17.25,19.625,0,6,40
2019-05-27,12.75,17.25,19.625,0,7,16
2019-05-27,12.75,17.25,19.625,0,8,4
2019-06-03,14.875,18.5,22.25,25,1,133
2019-06-03,14.875,18.5,22.25,25,2,16
2019-06-03,14.875,18.5,22.25,25,3,34
2019-06-03,14.875,18.5,22.25,25,4,7
2019-06-03,14.875,18.5,22.25,25,5,5
2019-06-03,14.875,18.5,22.25,25,6,8
2019-06-03,14.875,18.5,22.25,25,7,5
2019-06-03,14.875,18.5,22.25,25,8,4
2019-06-10,11.125,14.875,29.875,0,1,200
2019-06-10,11.125,14.875,29.875,0,2,33
2019-06-10,11.125,14.875,29.875,0,3,34
2019-06-10,11.125,14.875,29.875,0,4,15
2019-06-10,11.125,14.875,29.875,0,5,10
2019-06-10,11.125,14.875,29.875,0,6,16
2019-06-10,11.125,14.875,29.875,0,7,11
2019-06-10,11.125,14.875,29.875,0,8,12
2019-06-17,13.75,18.25,22.75,0,1,79
2019-06-17,13.75,18.25,22.75,0,2,9
2019-06-17,13.75,18.25,22.75,0,3,23
2019-06-17,13.75,18.25,22.75,0,4,3
2019-06-17,13.75,18.25,22.75,0,5,1
2019-06-17,13.75,18.25,22.75,0,6,4
2019-06-17,13.75,18.25,22.75,0,7,15
2019-06-17,13.75,18.25,22.75,0,8,3
2019-06-24,13.5,17.5,21.125,0,1,136
2019-06-24,13.5,17.5,21.125,0,2,35
2019-06-24,13.5,17.5,21.125,0,3,34
2019-06-24,13.5,17.5,21.125,0,4,9
2019-06-24,13.5,17.5,21.125,0,5,5
2019-06-24,13.5,17.5,21.125,0,6,45
2019-06-24,13.5,17.5,21.125,0,7,6
2019-06-24,13.5,17.5,21.125,0,8,11
2019-07-01,14.875,19.5,24.0,0,1,184
2019-07-01,14.875,19.5,24.0,0,2,39
2019-07-01,14.875,19.5,24.0,0,3,37
2019-07-01,14.875,19.5,24.0,0,4,8
2019-07-01,14.875,19.5,24.0,0,5,5
2019-07-01,14.875,19.5,24.0,0,6,16
2019-07-01,14.875,19.5,24.0,0,7,15
2019-07-01,14.875,19.5,24.0,0,8,10
2019-07-08,10.75,14.125,17.375,0,1,127
2019-07-08,10.75,14.125,17.375,0,2,74
2019-07-08,10.75,14.125,17.375,0,3,23
2019-07-08,10.75,14.125,17.375,0,4,6
2019-07-08,10.75,14.125,17.375,0,5,10
2019-07-08,10.75,14.125,17.375,0,6,21
2019-07-08,10.75,14.125,17.375,0,7,6
2019-07-08,10.75,14.125,17.375,0,8,4
2019-07-15,9.625,15.125,20.5,0,1,143
2019-07-15,9.625,15.125,20.5,0,2,37
2019-07-15,9.625,15.125,20.5,0,3,42
2019-07-15,9.625,15.125,20.5,0,4,8
2019-07-15,9.625,15.125,20.5,0,5,10
2019-07-15,9.625,15.125,20.5,0,6,24
2019-07-15,9.625,15.125,20.5,0,7,0
2019-07-15,9.625,15.125,20.5,0,8,13
2019-07-22,10.875,14.875,19.0,0,1,116
2019-07-22,10.875,14.875,19.0,0,2,37
2019-07-22,10.875,14.875,19.0,0,3,16
2019-07-22,10.875,14.875,19.0,0,4,9
2019-07-22,10.875,14.875,19.0,0,5,2
2019-07-22,10.875,14.875,19.0,0,6,25
2019-07-22,10.875,14.875,19.0,0,7,0
2019-07-22,10.875,14.875,19.0,0,8,5
2019-07-29,13.75,18.375,22.875,0,1,172
2019-07-29,13.75,18.375,22.875,0,2,35
2019-07-29,13.75,18.375,22.875,0,3,27
2019-07-29,13.75,18.375,22.875,0,4,6
2019-07-29,13.75,18.375,22.875,0,5,4
2019-07-29,13.75,18.375,22.875,0,6,27
2019-07-29,13.75,18.375,22.875,0,7,6
2019-07-29,13.75,18.375,22.875,0,8,4
2019-08-05,10.875,15.0,19.125,0,1,139
2019-08-05,10.875,15.0,19.125,0,2,20
2019-08-05,10.875,15.0,19.125,0,3,12
2019-08-05,10.875,15.0,19.125,0,4,7
2019-08-05,10.875,15.0,19.125,0,5,10
2019-08-05,10.875,15.0,19.125,0,6,12
2019-08-05,10.875,15.0,19.125,0,7,11
2019-08-05,10.875,15.0,19.125,0,8,13
